GTtime,device
2023-02-15 14:32:43.284963,Microwave
2023-02-15 14:32:50.931426,Microwave
2023-02-15 14:32:59.659983,Bathroom light
2023-02-15 14:33:09.090724,Smart TV 55
2023-02-15 14:33:35.884531,Bathroom light
2023-02-15 15:21:58.628199,Smart TV 55
2023-02-15 14:26:43.800000,Refrigerator
2023-02-15 15:33:07.500000,Refrigerator
2023-02-15 16:25:21.811781,Air heater
2023-02-15 16:30:10.120000,Living room Light
2023-02-15 19:08:19.060000,Refrigerator
2023-02-15 19:38:00.696114,Air heater
2023-02-15 19:38:19.077205,Smart TV 55
2023-02-15 19:58:40.364092,Bathroom light
2023-02-15 19:58:54.829438,Hall  light
2023-02-15 19:59:01.577220,Hall  light
2023-02-15 19:58:54.729090,Bathroom light
2023-02-15 20:00:20.420000,Refrigerator
2023-02-15 21:23:20.214359,Bathroom light
2023-02-15 21:28:21.463658,Bathroom light
2023-02-15 21:30:16.520000,Refrigerator
2023-02-15 21:35:23.178994,Smart TV 55
2023-02-15 21:35:23.530000,Bedroom lights
2023-02-15 21:35:33.398337,Smart TV 42
2023-02-15 21:39:04.120000,Bedroom lights
2023-02-15 22:43:58.500000,Refrigerator
2023-02-15 23:54:36.200000,Refrigerator
2023-02-16 01:17:54.560000,Refrigerator
2023-02-16 01:56:03.762717,Smart TV 42
2023-02-16 03:21:01.320000,Worksation
2023-02-16 04:35:28.520000,Refrigerator
2023-02-16 05:41:48.820000,Refrigerator
2023-02-16 06:55:38.180000,Refrigerator
2023-02-16 06:20:20.100000,Worksation
2023-02-16 07:12:46.420000,Worksation
2023-02-16 07:30:23.560000,Living room Light
2023-02-16 07:43:48.277499,Bathroom light
2023-02-16 07:54:42.279558,Bathroom light
2023-02-16 07:56:17.800000,Refrigerator
2023-02-16 08:20:51.440000,Worksation
2023-02-16 09:04:41.675627,Bathroom light
2023-02-16 09:05:16.800000,Refrigerator
2023-02-16 09:14:42.884809,Bathroom light
